KEY,PBS,Lo,Med,Hi,AveExpr,F,P.Value,adj.P.Val,SYMBOL
Usp33,5.9786245604313235,6.016756630348944,5.999000539584454,6.021504876713607,6.003971651769581,6645.286672422351,3.252512816748616e-23,3.4876118042020916e-22,Usp33
Gid4,5.484992357560517,5.53730787427177,5.503488263444084,5.449839507829478,5.4939070007764625,6644.594194230955,3.254938420343207e-23,3.4879953199446553e-22,Gid4
Skil,7.065160793988634,7.276158010465043,7.280934250157352,7.029228784059654,7.16287045966767,6642.166187206575,3.2634595135080694e-23,3.4921623005411683e-22,Skil
Ngly1,5.405500651883443,5.874385060339921,5.601634414363214,5.580199750620757,5.615429969301834,6641.907288462498,3.2643696179779697e-23,3.4921623005411683e-22,Ngly1
B4galt6,6.509566194858017,6.941004535526307,6.858335288415688,6.7866957708117805,6.773900447402948,6641.717145670314,3.2650382094939364e-23,3.4921623005411683e-22,B4galt6
Edc4,6.034208153104976,5.780593051135863,5.904842130473877,5.813033395907732,5.883169182655612,6638.448284658022,3.2765568150047176e-23,3.5022613307151185e-22,Edc4
Sec24c,6.378024887363001,6.32482625824384,6.303537714886138,6.308715432542735,6.328776073258927,6633.988311209556,3.292347366123336e-23,3.516910894515662e-22,Sec24c
Amotl1,6.91891574299396,6.678987980804628,6.677775299672747,6.8438261166843635,6.779876285038925,6629.598158984947,3.3079754732990705e-23,3.5313685005149e-22,Amotl1
Usp46,5.7097000405153775,5.991704155241045,5.809799382683465,5.778090241534483,5.822323454993593,6627.373268457764,3.3159279311018545e-23,3.53376518900373e-22,Usp46
Ndel1,6.16616985574696,6.023026692540125,6.074031763618498,5.957342737855546,6.0551427624402825,6627.321545684051,3.31611306352744e-23,3.53376518900373e-22,Ndel1
Lcor,5.373388824003515,5.494634220847887,5.551172280685643,5.458585572778652,5.469445224578925,6627.211839255959,3.316505777075298e-23,3.53376518900373e-22,Lcor
Usp19,6.79078644069183,6.465504320404141,6.669239600044345,6.764773203764129,6.672575891226112,6623.811682112652,3.328703559855894e-23,3.544522913136955e-22,Usp19
Gns,7.571051853581061,7.288897192471248,7.3479601169735735,7.388241632537914,7.399037698890949,6620.640555485426,3.340125813085834e-23,3.552365446243508e-22,Gns
Ehd1,5.204726224884293,5.037710784437615,5.01411189329871,5.0241459696573045,5.070173718069482,6620.59761648796,3.3402807836261364e-23,3.552365446243508e-22,Ehd1
Tceal9,8.385877994977683,8.534545239620074,8.465113034510034,8.25627610742572,8.410453094133379,6615.628742548793,3.3582693448905125e-23,3.569245686217283e-22,Tceal9
Hmgn2,6.6882344905872255,6.398713805629244,6.365567061856671,6.46478076127795,6.479324029837773,6610.100409028787,3.3784131755618496e-23,3.5883938937154736e-22,Hmgn2
Fam32a,6.2624659746223195,6.284458884890041,6.106332006106182,6.0222460592727884,6.168875731222833,6605.73199224542,3.394427996375527e-23,3.6031351173609824e-22,Fam32a
Ndufs2,6.69988701257509,6.446692547756289,6.37249962943141,6.410562987581033,6.482410544335956,6600.478485141577,3.413802315454266e-23,3.6195699822654212e-22,Ndufs2
Snrnp70,5.910077067843517,5.546215179065996,5.81050804919993,5.695363040064937,5.740540834043595,6600.370252526498,3.414202787564051e-23,3.6195699822654212e-22,Snrnp70
Abca8b,6.285019173662564,6.316229882559034,6.247811000583129,6.438406037293433,6.32186652352454,6598.493123159098,3.421156888632776e-23,3.6210804123604955e-22,Abca8b
Ywhaz,7.716428891860479,7.9480058560905285,7.935356041115998,7.837235727908382,7.8592566292438475,6598.410673460783,3.42146270553134e-23,3.6210804123604955e-22,Ywhaz
Pfdn1,4.814266116435375,4.525025300147497,4.545576046155631,4.511329249564588,4.599049178075772,6598.247494882201,3.422068048439337e-23,3.6210804123604955e-22,Pfdn1
Satb1,5.422592448426615,5.799517585143097,5.6087674407976245,5.675065996732244,5.626485867774896,6596.164922936925,3.429804486741365e-23,3.626991365383486e-22,Satb1
Sfxn1,5.634030213999951,5.74626914916611,5.601857582715672,5.4881022297534106,5.6175647939087865,6595.322638605685,3.432939104915947e-23,3.6280315715925613e-22,Sfxn1
Usp12,5.444796888751173,5.465476373485627,5.341868682051032,5.31499653155202,5.391784618959963,6593.932973809826,3.4381179766666114e-23,3.6312295499333583e-22,Usp12
Cadps,5.899496979172809,6.1587145783480075,6.177410012983962,5.975091529557552,6.052678275015583,6591.5822475025925,3.446898725714157e-23,3.638225332078891e-22,Cadps
Dio2,6.716484680582704,6.973240933962346,6.8548424949193185,6.8039733334019745,6.837135360716586,6589.687504268959,3.4539948309114975e-23,3.6434353228883195e-22,Dio2
