PBS	Lo	Med	Hi	AveExpr	F	P.Value	adj.P.Val
Dpp8	7.16438090289328	7.1881662336908	7.19053800069625	7.12039158280339	7.16586918002093	20428.104095753	1.05310013212641e-26	5.28816382319593e-24
Sptan1	8.71608983237383	8.60480259285943	8.6426396415326	8.7269428563177	8.67261873077089	20281.8356223501	1.10867358609248e-26	5.28816382319593e-24
March6	7.82200482268184	7.97710103154588	7.98731064790114	7.95811100576737	7.93613187697406	20263.1288723548	1.11601923712504e-26	5.28816382319593e-24
Rpl21	8.44714811840138	8.19070670569304	8.22099899064879	8.12131935623151	8.24504329274368	20209.6955511182	1.13730849698698e-26	5.28816382319593e-24
Pde4dip	7.92573394182641	7.87696259626614	7.887310354728	7.86314393579594	7.88828770715412	20019.266671706	1.21703460851386e-26	5.28816382319593e-24
Atp1a1	9.49200604993052	9.25757273356497	9.24592526910729	9.19862497377933	9.29853225659553	19959.6745214068	1.24327867803164e-26	5.28816382319593e-24
Atp6ap2	7.35146694207404	7.46612257461337	7.4368698601726	7.41934856463918	7.4184519853748	19872.7525452352	1.28272356980723e-26	5.28816382319593e-24
Dstn	7.57750015174869	7.47521653813565	7.52375728184142	7.47146293007455	7.51198422545008	19746.437604292	1.34261418693526e-26	5.28816382319593e-24
Bbx	8.1349179702867	8.43301855310895	8.36265303030649	8.28579952194727	8.30409726891235	19737.4557457984	1.34699276136219e-26	5.28816382319593e-24
Rbbp4	7.16879173430136	7.2409561064555	7.18640679556639	7.04569665088736	7.16046282180265	19691.0086343628	1.36989661963702e-26	5.28816382319593e-24
Tmem59	7.76961824619852	7.66830739971661	7.63176418657001	7.66419625425774	7.68347152168572	19686.6886768546	1.3720493308776e-26	5.28816382319593e-24
Map2	8.13759610857756	7.96432805406214	8.15444601291558	8.19635378100527	8.11318098914014	19674.8593725303	1.3779638430959e-26	5.28816382319593e-24
Cbx5	8.74115082191687	8.7163377443555	8.69860403970861	8.63563191628969	8.69793113056767	19648.986944267	1.39100131066782e-26	5.28816382319593e-24
Unc80	8.44256531113571	8.48057418738224	8.49622690283086	8.51351558965741	8.48322049775156	19623.5689499821	1.40394685764216e-26	5.28816382319593e-24
Hnrnpk	8.6328955491168	8.61408182505239	8.57823237100817	8.46583167153766	8.57276035417875	19590.852281252	1.42081227438837e-26	5.28816382319593e-24
Peg3	10.5591034485416	10.5930732562538	10.7196751988168	10.6273581212038	10.624802506204	19552.3784136485	1.44094171656491e-26	5.28816382319593e-24
Ddb1	8.82252870710883	8.63669015156465	8.59059671790422	8.60082432034899	8.66265997423167	19525.9838325105	1.4549392964963e-26	5.28816382319593e-24
Kdm5b	7.00978610423449	6.97955838042293	7.03296100193368	6.9927812250352	7.00377167790657	19489.953075474	1.47429801930677e-26	5.28816382319593e-24
Ncor1	7.83955211983437	7.87646080950638	7.88631344222126	7.84881022586636	7.86278414935709	19375.5587775561	1.53773364065024e-26	5.28816382319593e-24
Sesn3	8.06796616404927	8.31082098863049	8.17146141886881	8.28547676553697	8.20893133427138	19342.3674022711	1.55671764286012e-26	5.28816382319593e-24
Lrba	7.60188408860774	7.52920432292947	7.54323837176983	7.45629002034334	7.53265420091259	19321.7697462523	1.56863287008983e-26	5.28816382319593e-24
Zzz3	6.77929742351392	6.96055683861529	6.86523222828402	6.80598951153362	6.85276900048672	19318.1679198999	1.57072709601941e-26	5.28816382319593e-24
Rps19	7.90727200674983	7.77296624958458	7.7410634669288	7.63705429692477	7.76458900504699	19270.1404700644	1.59895864696148e-26	5.28816382319593e-24
Trip12	8.4197885178171	8.6167849704942	8.59317007257242	8.49157932727192	8.53033072203891	19182.5093450778	1.65197354865561e-26	5.312610546613e-24
Pdxdc1	7.337145121847	7.3421432735519	7.25772200059064	7.21467612659099	7.28792163064513	19149.0446496268	1.67274540203577e-26	5.312610546613e-24
March8	7.72023323541215	7.63799075825926	7.61306808062257	7.63686302298858	7.65203877432064	19104.5258158505	1.70084169987017e-26	5.312610546613e-24
Tulp4	7.83641046891226	7.85161855430939	7.85673629470344	7.81363802178472	7.83960083492745	19042.7598702871	1.74071816784936e-26	5.32020896175556e-24
Sar1a	8.15583462482101	8.31395568080615	8.16361177761453	8.06503081234014	8.17460822389546	18952.4938567749	1.80092605879013e-26	5.32020896175556e-24
Rpl14	8.40130015322096	8.06901250935386	8.12902087145663	7.9337442757693	8.13326945245019	18835.7714075128	1.88233165967764e-26	5.32020896175556e-24
Rps12	8.64942286251828	8.40999686586494	8.40038429356168	8.35539082353988	8.4537987113712	18816.1345295211	1.89643517421997e-26	5.32020896175556e-24
Epcam	8.63903640328032	8.55526597725325	8.62007360357715	8.55134988549532	8.59143146740151	18786.5571776548	1.91790601389247e-26	5.32020896175556e-24
Herc1	7.93631417595834	7.98770233875721	7.94930460540426	7.97093029797908	7.96106285452472	18757.4167419185	1.93933103419085e-26	5.32020896175556e-24
Sun1	7.18829833391519	7.12045987089972	7.06479163931555	7.07080052824947	7.11108759309498	18732.5913367454	1.95779886391952e-26	5.32020896175556e-24
