KEY,logFC_lo,FDR_lo,logFC_med,FDR_med,logFC_hi,FDR_hi,SYMBOL,pass_lo,pass_med,pass_hi,pass_any,mean_abs_logFC,dir_consistent,in_GO_focus,score
Cd34,0.17547999530789848,0.46845647961406606,-0.08256003817901547,0.7681826969674601,0.14293527854436672,0.6772188422415245,Cd34,FALSE,FALSE,FALSE,FALSE,0.13365843734376023,FALSE,FALSE,0.03534087541700494
Zfp85os,-0.022332666122381162,0.9608908006792275,-0.10761577064779315,0.8103073013280263,0.2710252956931415,0.5955973767260072,Zfp85os,FALSE,FALSE,FALSE,FALSE,0.13365791082110526,FALSE,FALSE,0.03534073305186145
Ammecr1l,0.14050755811855797,0.46699488113010057,0.18723948661176504,0.3498697369257727,0.07319523722757637,0.8067029261544192,Ammecr1l,FALSE,FALSE,FALSE,FALSE,0.1336474273192998,FALSE,FALSE,0.035337898444034586
Gpr157,-0.22359815209081746,0.5018948022842705,0.05678176215648101,0.8757949585855956,0.12055991358249551,0.797123645664202,Gpr157,FALSE,FALSE,FALSE,FALSE,0.133646609276598,FALSE,FALSE,0.03533767725551492
Ankef1,0.13761634098992537,0.6390166155588232,0.0734949089063035,0.8216863561970031,0.18976762413206516,0.6272419293667476,Ankef1,FALSE,FALSE,FALSE,FALSE,0.13362629134276469,FALSE,FALSE,0.0353321835402146
Atad3aos,-0.03329847995414481,0.9465073144007027,-0.19498338305168966,0.6758986378774093,-0.1725968546404148,0.787247967643982,Atad3aos,FALSE,FALSE,FALSE,FALSE,0.13362623921541641,FALSE,FALSE,0.035332169445631306
Kdm1b,0.1922084961749695,0.18705586914064923,0.20391149633849892,0.19803605539449065,-0.004721964326433792,0.9851602159265711,Kdm1b,FALSE,FALSE,FALSE,FALSE,0.13361398561330073,FALSE,FALSE,0.035328856224809774
Irak2,-0.2051653954032755,0.3450172349031964,0.15223412039992024,0.4909885333434505,-0.043385475133587814,0.9051000094912823,Irak2,FALSE,FALSE,FALSE,FALSE,0.13359499697892785,FALSE,FALSE,0.03532372193546508
Mpv17,0.33590508452612955,0.06293603150896997,0.04697459188952813,0.820653059797958,0.017765475080631532,0.9568917316396195,Mpv17,FALSE,FALSE,FALSE,FALSE,0.1335483838320964,FALSE,FALSE,0.035311118323304275
Zbtb21,-0.21240101736723904,0.2653470030624103,-0.0160669786294374,0.9460695866455494,-0.17202110136401938,0.5248243761077283,Zbtb21,FALSE,FALSE,FALSE,FALSE,0.1334963657868986,FALSE,FALSE,0.03529705329419548
Ank2,0.0608339287985018,0.6801145149069374,0.11962665425905605,0.4237006708496367,0.22001713091249453,0.2521490560962136,Ank2,FALSE,FALSE,FALSE,FALSE,0.1334925713233508,FALSE,FALSE,0.0352960273186893
Tfeb,-0.16543695622084442,0.49186982149836617,-0.11576316246945995,0.649930803852835,0.11887675067624448,0.7192625320922958,Tfeb,FALSE,FALSE,FALSE,FALSE,0.1333589564555163,FALSE,FALSE,0.0352598995288365
Gm17249,0.1636155551692452,0.7424331088134994,0.09737058328972037,0.8554081965315555,0.13906086312645116,0.8515673023102216,Gm17249,FALSE,FALSE,FALSE,FALSE,0.13334900052847223,FALSE,FALSE,0.03525720757062955
N4bp2l1,-0.04055484000775511,0.8406970225425879,0.211424527378826,0.2555861613981808,0.14803246281293525,0.5512759364024638,N4bp2l1,FALSE,FALSE,FALSE,FALSE,0.1333372767331721,FALSE,FALSE,0.03525403760294747
Shc2,0.00643406966443294,0.9832076445762336,-0.3248708251706356,0.2643605887626387,-0.06860354931808788,0.876713687437313,Shc2,FALSE,FALSE,FALSE,FALSE,0.1333028147177188,FALSE,FALSE,0.03524471950480181
Thrap3,-0.2057532856682105,0.1260106869888631,-0.11414923503837038,0.4269708101951634,-0.07989632071986907,0.687445767323103,Thrap3,FALSE,FALSE,FALSE,FALSE,0.1332662804754833,FALSE,FALSE,0.03523484110244056
Selenof,0.25582424939842596,0.1839474399040791,-0.0015573204641334826,0.9941674940627245,-0.14234296619200926,0.6140787433215946,Selenof,FALSE,FALSE,FALSE,FALSE,0.13324151201818957,FALSE,FALSE,0.03522814402123553
Rad1,0.21456269070963563,0.26929806925392064,0.08966272543928522,0.6861803581669176,0.09540705380354186,0.7474990934071348,Rad1,FALSE,FALSE,FALSE,FALSE,0.13321082331748757,FALSE,FALSE,0.035219846180225875
A930015D03Rik,0.17812081041612224,0.7756801378523429,-0.21984343543373652,0.7453739530940862,-0.0015633180773360067,0.9984235901666539,A930015D03Rik,FALSE,FALSE,FALSE,FALSE,0.13317585464239826,FALSE,FALSE,0.03521039108764873
Zgpat,-0.24017214102991158,0.12728768526794285,-0.053006971698256855,0.763547194533297,-0.10630379721643557,0.6323909429312146,Zgpat,FALSE,FALSE,FALSE,FALSE,0.13316096998153468,FALSE,FALSE,0.035206366461434414
Papss1,-0.13636887112228724,0.247097911621055,-0.10245277346032822,0.4199720298691348,-0.1605835927806023,0.32711245699212343,Papss1,FALSE,FALSE,FALSE,FALSE,0.13313507912107259,FALSE,FALSE,0.03519936589644458
Gm13814,-0.1586231193772918,0.5947460420352811,0.16736793403215522,0.5642705247253021,-0.07333266173851416,0.8736400263834452,Gm13814,FALSE,FALSE,FALSE,FALSE,0.13310790504932038,FALSE,FALSE,0.0351920183671642
