pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_HEME_METABOLISM,0.174680306905371,0.272937979539642,-0.260937845787141,-1.12138373425849,682,180,Slc6a9|Selenbp1|Glrx5|Ucp2|Ppox|Ccnd3|Btg2|Pcx|Sptb|Mboat2|Add2|Lpin2|Rbm38|Btrc|Hmbs|Dmtn|Aldh1l1|Arhgef12|Ranbp10|Foxj2|Kat2b|Nfe2l1|Ackr1|Mgst3|Slc22a4|Add1|Psmd9|Hdgf|Tmcc2|Ppp2r5b|Pdzk1ip1|Bcam|Tns1|Acp5|Blvrb|Atp6v0a1|Khnyn|Sidt2|Urod|Slc11a2|Alad|Epb41,Lo_vs_Hi
HALLMARK_BILE_ACID_METABOLISM,0.219421101774043,0.332456214809156,-0.28111180062219,-1.11363439352252,939,99,Abcg8|Cyp27a1|Abca4|Slc27a2|Cyp39a1|Gnmt|Abcg4|Slc22a18|Abcd1|Ephx2|Pfkm|Pex11a|Bbox1|Fads2|Sult2b1|Rxra|Aqp9|Aldh1a1|Pex6|Abca6|Lck|Rxrg|Ch25h|Mlycd|Abca2|Pex19|Abca8b,Lo_vs_Hi
HALLMARK_APOPTOSIS,0.249248496993988,0.3665419073441,-0.256464842898497,-1.08432647444447,994,157,Timp3|Wee1|Tgfbr3|Gucy2e|Ank|Smad7|Nefh|Btg2|Hspb1|Casp9|Rhob|Ier3|Rara|Gsn|Hmox1|Krt18|Bcl2l1|Sptan1|Mmp2|Add1|Ppp2r5b|Cflar|Cd44|Sqstm1|Tnf|Cdc25b|Erbb3|Gadd45b|Gch1|Gsr|Clu|Madd|Ddit3|Bcl2l2,Lo_vs_Hi
HALLMARK_E2F_TARGETS,0.296551724137931,0.423645320197044,0.257407565006137,1.06720245681584,1805,194,Melk|Ipo7|Diaph3|Prkdc|Psip1|Eed|Nme1|Stag1|Dek|Hells|Xpo1|Rad21|Asf1a|Orc2|Pds5b|Pms2|Gins1|Dctpp1|Donson|Smc6|Syncrip|Rad51ap1|Mthfd2|Tipin|Rpa3|Cdkn1b|Brca1|Usp1|Tmpo|Dut|Zw10|Dscc1|Ranbp1|Plk4|Ung|Wdr90|Mad2l1|Top2a|Xrcc6|Spc25|Nbn|Dck|Eif2s1|Cdkn2a|Smc4|Atad2|Cnot9|Gspt1|Cse1l|Smc3|Nudt21|Cdkn2c|Tfrc|Orc6|Cdk1|Brca2|Cbx5|Rad1|Nup205|Rfc1|Lsm8|Hnrnpd|Nap1l1|Cdkn3|Asf1b,Lo_vs_Hi
HALLMARK_TGF_BETA_SIGNALING,0.316719528772089,0.439888234405679,-0.304672475318869,-1.07138558297428,1397,53,Junb|Smad7|Id1|Cdk9|Ncor2|Furin|Ltbp2|Ski|Id3|Cdkn1c|Ppp1r15a|Smad3|Id2|Tgif1|Tgfb1|Smad6|Serpine1|Ppp1ca|Hdac1,Lo_vs_Hi
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.345012787723785,0.466233496924034,-0.240819661575517,-1.03492557994333,1348,180,Serping1|Ifitm2|Trim14|Tapbp|Psme1|Sspn|Socs3|Cd274|Irf8|Lgals3bp|Psmb10|Rbck1|Samhd1|Xaf1|Fpr1|Oasl1|Il7|Vamp5|Pim1|Ogfr|Ifi30|Usp18|Ptpn1|Tnfaip3|Rnf31|Nod1|St3gal5|Helz2|Vcam1|Psme2|Irf5|Psmb2|Jak2|Gch1|Znfx1|Cfb|H2-DMa|Icam1|Slc25a28|Ly6e|Stat3|Tnfaip6|Sod2|Psmb8|Trim26|Cmklr1,Lo_vs_Hi
HALLMARK_ALLOGRAFT_REJECTION,0.365270448548813,0.480619011248438,0.253863636408367,1.03709252930772,2214,171,Rpl39-ps|H2-Ob|Npm1|Gzma|Il1b|Nme1|Map3k7|Elf4|Stat1|Cxcl9|Gcnt1|Klrd1|Hif1a|Eif3j1|Fgr|Abi1|Stat4|Ube2d1|Trat1|Cd47|Acvr2a|Mrpl3|Bcl10|Ereg|Mtif2|Tpd52|Glmn|Lif|Ly86|Brca1|Nos2,Lo_vs_Hi
HALLMARK_ANDROGEN_RESPONSE,0.38913311060313,0.486416388253912,0.274457447559394,1.02903913234172,2212,94,Spdef|Lman1|Ngly1|Idi1|Arxes2|Gucy1a1|Srp19|Inpp4b|Hpgd|Ell2|Zbtb10|Camkk2|Mak|Tpd52|Vapa|Stk39|Sec24d|Sat1|Cenpn|Dnajb9|B2m,Lo_vs_Hi
HALLMARK_KRAS_SIGNALING_DN,0.384135694686954,0.486416388253912,-0.24134512241419,-1.02377693578414,1539,160,Zbtb16|Grid2|Myh7|Dcc|Btg2|Fggy|Cyp39a1|Synpo|Slc25a23|Abcg4|Krt1|Oxt|Kmt2d|Sstr4|Itgb1bp2|Egf|Fgf16|Snn|Cntfr|Kcnq2|Kcnd1|Arhgdig|Plag1|Clstn3|Prodh|Sidt1|Nr6a1|Ybx2|Itih3|Celsr2|Ngb|Nos1|Slc6a14|Mast3|Igfbp2|Sphk2|Efhd1,Lo_vs_Hi
HALLMARK_PEROXISOME,0.459820643573061,0.547405528063168,0.265551641485413,0.997203222632759,2614,95,Abcd2|Idi1|Prdx1|Idh1|Ywhah|Slc25a4|Abcd3|Vps4b|Acsl1|Slc35b2|Isoc1|Pabpc1|Cdk7|Bcl10|Scp2,Lo_vs_Hi
HALLMARK_FATTY_ACID_METABOLISM,0.457729875378916,0.547405528063168,0.249118287492654,0.996678349584196,2717,146,Ostc|Ptprg|Idi1|Idh1|Rap1gds1|Sucla2|Ywhah|Pdhb|Sdhd|Hpgd|Maoa|Serinc1|Acsl1|S100a10|Gapdhs|Hsdl2|Ugdh|Decr1|Tdo2|Pts|Etfdh|Hccs|Uros|Hadhb|Fh1|Hsp90aa1|Eno3|Gcdh|Dld,Lo_vs_Hi
HALLMARK_DNA_REPAIR,0.47562776957164,0.553055546013535,-0.23614818355539,-0.989309013206062,1931,145,Ercc1|Arl6ip1|Ercc2|Taf10|Usp11|Adrm1|Rfc5|Ddb2|Nelfe|Supt4a|Polr3c|Snapc4|Zwint|Taf1c|Cant1|Poll|Rad52|Trp53|Adcy6|Nfx1|Taf12|Aprt|Bcam|Xpc|Ssrp1|Supt5|Nt5c|Pom121|Ercc3|Vps37d|Tk2|Polr2f|Ercc5|Taf6|Taf9|Sac3d1|Mpg|Lig1|Zfp707|Cmpk2|Ercc4|Gtf2f1|Ago4|Ercc8|Npr2|Rae1|Polr3gl|Dguok|Hcls1|Vps28|Nelfb,Lo_vs_Hi
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.494656133828996,0.562109242987496,-0.250532586684305,-0.9794482667321,2128,91,Ifitm2|Trim14|Mov10|Psme1|Lgals3bp|Csf1|Oasl1|Il7|Gmpr|Ogfr|Ifi30|Usp18|Rnf31|Trim12c|Helz2|Psme2|Slc25a28|Ly6e|Psmb8|Nub1|Trim26|Cmpk2|C1s1|Tmem140|Ccrl2|Parp12|Ifit3|Cnp|Adar|Irf1|Irf2|Batf2|Ifitm1,Lo_vs_Hi
HALLMARK_GLYCOLYSIS,0.626126864448451,0.695696516053835,0.226218396852646,0.936180280234285,3819,191,Ugp2|Kdelr3|Gys2|Dsc2|Rpe|Idh1|Polr3k|Copb2|Il13ra1|Vldlr|Sdc2|Plod2|Srd5a3|Kif2a|Gale|Ak4|Slc35a3|B3galt6|Zfp292|Fam162a|Ext1|Gapdhs|Hax1|Cenpa|Cyb5a|Arpp19|Slc25a13|Gfpt1|Mpi,Lo_vs_Hi
HALLMARK_PANCREAS_BETA_CELLS,0.665926748057714,0.723833421801863,0.287982506134186,0.871764427321248,3599,30,Pak3|Slc2a2|Dcx|Elp4|Pcsk1|Isl1|Lmo2|Spcs1,Lo_vs_Hi
HALLMARK_ADIPOGENESIS,0.833169129720854,0.86788451012589,0.207609377886547,0.860740973689908,5073,194,Rnf11|Angpt1|Fabp4|Uqcrq|Idh1|Slc1a5|Cox7b|Cmpk1|Gpx4|Ghitm|Ndufa5|Uqcr10|Dram2|Itga7|Elovl6|Ptcd3|Chuk|Ptger3|Idh3a|Pgm1|Dnajc15|Gbe1|Gphn|Dlat|Adig|Ccng2|Scp2|Arl4a|Ndufs3|Decr1|Atp1b3|Gpx3|Grpel1|Phyh|Fzd4|Dnajb9|Scarb1|Abca1,Lo_vs_Hi
HALLMARK_SPERMATOGENESIS,0.823050259965338,0.86788451012589,0.218720070145072,0.840298858406054,4748,110,Pdha2|Adcyap1|Strbp|Tle4|Gsg1|Slc12a2|Topbp1|Sirt1|Vdac3|Tulp2|Clgn|Spata6|Pias2|Gapdhs|Arl4a|Ift88|Scg5|Rad17|Bub1,Lo_vs_Hi
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.87820624672832,0.896128823192163,0.211325370080824,0.802540345376735,5032,102,Cltc|Map3k7|Hsp90b1|Plcb1|Pten|Pikfyve|Actr2|Cab39|Actr3|Pla2g12a|Pik3r3|Ube2d3|Rit1|Cdkn1b|Them4|Eif4e|Ywhab|Il4|Mapkap1|Vav3|Cab39l|Nck1|Irak4|Adcy2|Prkcb|Mapk8|Camk4|Rps6ka3|Fgf17|Cdk1|Ripk1|Tbk1|Arpc3,Lo_vs_Hi
HALLMARK_ANGIOGENESIS,0.935847420892935,0.935847420892935,-0.217593712954679,-0.697109240490994,4317,34,Fgfr1|Jag2|Fstl1|Vegfa|Lrpap1,Lo_vs_Hi
